time,Temperature (K)
2019-08-11 11:36:35.910904,326.54
2019-08-11 11:37:40.310746,326.44
2019-08-11 11:38:44.737811,326.54
2019-08-11 11:39:49.166465,326.54
2019-08-11 11:40:53.553798,326.54
2019-08-11 11:41:57.986230,326.54
2019-08-11 11:43:02.486523,326.54
2019-08-11 11:44:06.861938,326.54
2019-08-11 11:45:11.313933,326.54
2019-08-11 11:46:15.717579,326.54
2019-08-11 11:47:20.137201,326.54
2019-08-11 11:48:24.560439,326.54
2019-08-11 11:49:28.984752,326.54
2019-08-11 11:50:33.423331,326.54
2019-08-11 11:51:37.853323,326.54
2019-08-11 11:52:42.278196,326.54
2019-08-11 11:53:46.713593,326.44
2019-08-11 11:54:51.101915,326.54
2019-08-11 11:55:55.593283,326.54
2019-08-11 11:56:59.964558,326.44
2019-08-11 11:58:04.377391,326.54
2019-08-11 11:59:08.794960,326.54
2019-08-11 12:00:13.284941,326.54
2019-08-11 12:01:17.674488,326.54
2019-08-11 12:02:22.042837,326.44
2019-08-11 12:03:26.455387,326.54
2019-08-11 12:04:30.856461,326.54
2019-08-11 12:05:35.267226,326.54
2019-08-11 12:06:39.674924,326.44
2019-08-11 12:07:44.078877,326.54
2019-08-11 12:08:48.478673,326.54
2019-08-11 12:09:52.881743,326.54
2019-08-11 12:10:57.314378,326.54
2019-08-11 12:12:01.724478,326.54
2019-08-11 12:13:06.146631,326.54
2019-08-11 12:14:10.553653,326.44
2019-08-11 12:15:14.983670,326.54
2019-08-11 12:16:19.430876,326.54
2019-08-11 12:17:23.852016,326.54
2019-08-11 12:18:28.235071,326.54
2019-08-11 12:19:32.696478,326.44
2019-08-11 12:20:37.108169,326.54
2019-08-11 12:21:41.497630,326.54
2019-08-11 12:22:45.897241,326.44
2019-08-11 12:23:50.344055,326.54
2019-08-11 12:24:54.701930,326.54
2019-08-11 12:25:59.107187,326.54
2019-08-11 12:27:03.493682,326.54
2019-08-11 12:28:07.927318,326.44
2019-08-11 12:29:12.341500,326.54
2019-08-11 12:30:16.733196,326.54
2019-08-11 12:31:21.168350,326.54
2019-08-11 12:32:25.565607,326.54
2019-08-11 12:33:29.935782,326.44
2019-08-11 12:34:34.341705,326.54
2019-08-11 12:35:38.714697,326.44
2019-08-11 12:36:43.130057,326.44
2019-08-11 12:37:47.564082,326.44
2019-08-11 12:38:51.961152,326.44
2019-08-11 12:39:56.376338,326.54
2019-08-11 12:41:00.741363,326.54
2019-08-11 12:42:05.116745,326.54
2019-08-11 12:43:09.516220,326.54
2019-08-11 12:44:13.915821,326.54
2019-08-11 12:45:18.257236,326.44
2019-08-11 12:46:22.684446,326.54
2019-08-11 12:47:27.091520,326.44
2019-08-11 12:48:31.485552,326.54
2019-08-11 12:49:35.909747,326.54
2019-08-11 12:50:40.291947,326.54
2019-08-11 12:51:44.726654,326.44
2019-08-11 12:52:49.117741,326.44
2019-08-11 12:53:53.517335,326.54
2019-08-11 12:54:57.900474,326.44
2019-08-11 12:56:02.279248,326.54
2019-08-11 12:57:06.687502,326.54
2019-08-11 12:58:11.113806,326.54
2019-08-11 12:59:15.506126,326.54
2019-08-11 13:00:19.909519,326.44
2019-08-11 13:01:24.313813,326.54
